iter	Passed	Remaining
0	57	57059
1	57	28627
2	57	19133
3	57	14397
4	58	11542
5	58	9641
6	58	8293
7	58	7268
8	58	6478
9	58	5840
10	59	5322
11	59	4894
12	59	4519
13	59	4208
14	59	3936
15	60	3702
16	60	3491
17	60	3304
18	60	3132
19	60	2982
20	61	2847
21	61	2722
22	61	2613
23	61	2509
24	61	2412
25	61	2322
26	62	2240
27	62	2163
28	62	2092
29	62	2028
30	62	1967
31	63	1910
32	63	1857
33	63	1806
34	63	1762
35	64	1718
36	64	1675
37	64	1633
38	64	1595
39	64	1559
40	65	1524
41	65	1490
42	65	1456
43	65	1424
44	65	1396
45	66	1369
46	66	1341
47	66	1314
48	66	1290
49	66	1267
50	66	1244
51	67	1223
52	67	1202
53	67	1182
54	67	1163
55	67	1144
56	68	1129
57	68	1112
58	68	1095
59	68	1079
60	69	1063
61	69	1057
62	70	1041
63	70	1027
64	70	1012
65	70	999
66	70	985
67	70	972
68	71	959
69	71	946
70	71	935
71	71	923
72	71	912
73	72	901
74	72	889
75	72	879
76	72	869
77	72	859
78	72	849
79	73	840
80	73	831
81	73	823
82	73	814
83	73	805
84	74	797
85	74	789
86	74	781
87	74	775
88	75	768
89	75	760
90	75	753
91	75	746
92	75	738
93	75	732
94	76	725
95	76	719
96	76	712
97	76	706
98	76	700
99	77	694
100	77	688
101	77	682
102	77	676
103	77	670
104	78	664
105	78	659
106	78	654
107	78	648
108	78	643
109	78	638
110	79	633
111	79	629
112	79	624
113	79	619
114	79	614
115	80	610
116	80	606
117	80	601
118	80	597
119	80	592
120	80	588
121	81	584
122	81	580
123	81	576
124	81	572
125	81	567
126	82	564
127	82	560
128	82	557
129	82	553
130	82	549
131	83	546
132	83	542
133	83	539
134	83	535
135	83	532
136	83	528
137	84	525
138	84	522
139	84	519
140	84	515
141	84	512
142	85	509
143	85	506
144	85	503
145	85	500
146	85	497
147	85	494
148	86	492
149	86	489
150	86	486
151	86	483
152	86	480
153	87	477
154	87	475
155	87	472
156	87	470
157	87	467
158	87	465
159	88	462
160	88	459
161	88	457
162	88	455
163	88	452
164	88	450
165	89	447
166	89	445
167	89	443
168	89	440
169	90	440
170	90	437
171	90	435
172	90	433
173	90	431
174	91	429
175	91	427
176	91	425
177	91	423
178	91	421
179	92	419
180	92	417
181	92	415
182	92	413
183	92	411
184	93	409
185	93	407
186	93	406
187	93	404
188	93	402
189	93	400
190	94	398
191	94	396
192	94	395
193	94	393
194	94	391
195	95	390
196	95	388
197	95	386
198	95	385
199	95	383
200	96	381
201	96	380
202	96	378
203	96	377
204	96	375
205	96	373
206	97	372
207	97	370
208	97	368
209	97	367
210	97	365
211	98	364
212	98	362
213	98	361
214	98	359
215	98	358
216	98	357
217	99	355
218	99	354
219	99	352
220	99	351
221	99	349
222	100	348
223	100	347
224	100	345
225	100	344
226	100	343
227	100	341
228	101	340
229	101	339
230	101	337
231	101	336
232	101	335
233	102	333
234	102	332
235	102	331
236	102	330
237	102	329
238	102	327
239	103	326
240	103	325
241	103	324
242	103	322
243	103	321
244	104	320
245	104	319
246	104	318
247	104	317
248	104	315
249	104	314
250	105	313
251	105	312
252	105	311
253	105	310
254	105	309
255	105	308
256	106	306
257	106	305
